Project Name,Figma Link,Proto-type,Category,Website Link,Language
Cupsmx,https://www.figma.com/design/eMWtW6iQrf5LXGZOrvjDyx/cupsmx?node-id=0-1&t=Kf5hJKNDsfxO9KT5-1,https://www.figma.com/proto/eMWtW6iQrf5LXGZOrvjDyx/cupsmx?page-id=0%3A1&node-id=1-2&node-type=CANVAS&viewport=466%2C86%2C0.17&t=TJWcxQkHQBDcuyAF-1&scaling=scale-down-width&content-scaling=fixed,Ecommerce | Products | Cloths | Caps | Apparel | Fasion,,
Ingwaz Apparel,https://www.figma.com/design/TU9xNpawU3QvHkq99TdPRF/Ingwaz-Apparel?node-id=0-1&t=KVQYwfkDFBM8TDXw-1,https://www.figma.com/proto/TU9xNpawU3QvHkq99TdPRF/Ingwaz-Apparel?page-id=0%3A1&node-id=299-7&node-type=CANVAS&viewport=-176%2C156%2C0.15&t=KP2LwKKSvNYwyMA1-1&scaling=scale-down-width&content-scaling=fixed,Ecommerce | Products | Cloths | Apparel | Fasion,,
Titans 4 Life,https://www.figma.com/design/c6i54ZZrHpNbWnXj7f9C2L/Titans-4-Life?node-id=0-1&t=VOzmZ4sWCmQZ8f90-1,https://www.figma.com/proto/c6i54ZZrHpNbWnXj7f9C2L/Titans-4-Life?page-id=0%3A1&node-id=1-2&scaling=scale-down-width&content-scaling=fixed&t=nAjwNaf7yyrrjSgL-1,Ecommerce | Products | Cloths | Apparel | Bags | Fasion | Printing,,
Yancy's Wingz and Thingz,https://www.figma.com/design/7cNJvP8kjA2kVaWgB5CSTO/Gary-Yancy?node-id=0-1&t=R3eq2JyaxukDSsyH-1,https://www.figma.com/proto/7cNJvP8kjA2kVaWgB5CSTO/Gary-Yancy?page-id=0%3A1&node-id=6-44&node-type=CANVAS&viewport=297%2C188%2C0.09&t=Fv5lLKsJ8lyBGH1s-1&scaling=scale-down-width&content-scaling=fixed,Food | Restaurant,,
Steve's Grinding,https://www.figma.com/design/kZOwtCT4kmgMIMkygC7VQz/Steve's-Grinding?node-id=0-1&t=QnfyCw0SXi1NhPQN-1,https://www.figma.com/proto/kZOwtCT4kmgMIMkygC7VQz/Steve's-Grinding?page-id=0%3A1&node-id=1-2&scaling=scale-down-width&content-scaling=fixed&t=oqxrCc5fj6rmOHnE-1,Grinding | Contracting | Cutting Trees | Stump Grinding | Vertical Root Barrier | Small Excavating / Landscape Work | Landscaping | Dump Trailer | Hauling | Tree Maintenance,,
Vault Of Beauty,https://www.figma.com/design/2Khg5PQecG5oO6wWT7W45O/Vault-Of-Beauty?node-id=0-1&t=sVTTHwrxvuY2ZgQ0-1,https://www.figma.com/proto/2Khg5PQecG5oO6wWT7W45O/Vault-Of-Beauty?page-id=0%3A1&node-id=14-55&node-type=CANVAS&viewport=392%2C184%2C0.1&t=y3SYxF9qfJKtlHmG-1&scaling=scale-down-width&content-scaling=fixed,Skin Care | Beauty | Hair Care | Body Care | Products | Ecommerce Website,,
Cleaning,https://www.figma.com/design/3Dt4MC23dBq2LxbWRb5Tn0/Cleaning?node-id=0-1&t=h6apLVJpTwb9YEPn-1,https://www.figma.com/proto/3Dt4MC23dBq2LxbWRb5Tn0/Cleaning?page-id=0%3A1&node-id=2-2&node-type=CANVAS&viewport=146%2C124%2C0.13&t=88lva79cW8l0d9Cw-1&scaling=scale-down-width&content-scaling=fixed,Cleaning | Home Cleaning | Commercial Cleaning | Office Cleaning | House Cleaning | Floor Maintenance | Disinfecting & Sanitizing Service | Deep Cleaning | Furniture Cleaning,,
Pet Shop Landing Page Design,https://www.figma.com/design/blqy2shrsJ5PW6Us3HRL1c/Pet-shop-landing-page-design?node-id=0-1&t=BWRVwMSj3Jsy9pmq-1,https://www.figma.com/proto/blqy2shrsJ5PW6Us3HRL1c/Pet-shop-landing-page-design?page-id=0%3A1&node-id=1-2&node-type=CANVAS&viewport=412%2C499%2C0.29&t=WeX9WAax8BTj9mKE-1&scaling=scale-down-width&content-scaling=fixed,Animals | Pet | Treats | Dogs | Feed | wellness,,
SkinCare,https://www.figma.com/design/CcpeONtDrEUIlFxU4JlOLK/SkinCare?node-id=0-1&t=8OOiNWlOBPCcfnyJ-1,https://www.figma.com/proto/CcpeONtDrEUIlFxU4JlOLK/SkinCare?page-id=0%3A1&node-id=1-6&scaling=scale-down-width&content-scaling=fixed&t=iuwUxJ3uo6FPgpgh-1,Skin Care | Beauty | Hair Care | Body Care | Products | Ecommerce Website | Face Cleansers | Beauty Products,,
Education or Online education online courses or elearning or lms,https://www.figma.com/design/cznzoNpeq1I2PLwndc29bC/Education-or-Online-education-online-courses-or-elearning-or-lms?node-id=0-1&t=0lIZ2hLCmtHdDLu7-1,https://www.figma.com/proto/cznzoNpeq1I2PLwndc29bC/Education-or-Online-education-online-courses-or-elearning-or-lms?page-id=0%3A1&node-id=1-462&node-type=CANVAS&viewport=466%2C438%2C0.06&t=xUih6XHPza0lvXRF-1&scaling=scale-down-width&content-scaling=fixed,Education | Online Education | Online Courses | Elearning | lms,,
